Date,Forward Multiples,NTM Total Enterprise Value / Revenues ,NTM Price / Sales (P/S),NTM Total Enterprise Value / EBITDA ,NTM Total Enterprise Value / EBIT ,NTM Price / Normalized Earnings (P/E),NTM Market Cap / Free Cash Flow ,NTM Levered Free Cash Flow Yield,NTM Price / FFO Per Share,NTM Price / AFFO Per Share,NTM Dividend Yield,Trailing Multiples,LTM Total Enterprise Value / Revenues ,LTM Price / Sales (P/S),LTM Total Enterprise Value / Gross Profit,LTM Total Enterprise Value / EBITDA ,LTM Total Enterprise Value / EBIT ,LTM Price / Diluted EPS (P/E) ,LTM Price / Book Value per Share ,LTM Price / Tangible Book Value per Share ,LTM Total Enterprise Value / Unlevered Free Cash Flow ,LTM Market Cap / Levered Free Cash Flow ,LTM Price / Net Current Asset Value ,LTM Dividend Yield,Price Factors,Price,Total Enterprise Value (MM),Market Cap (MM),Forward Factors,NTM Revenues ,NTM EBITDA ,NTM EBIT ,NTM Normalized Earnings Per Share ,NTM Dividend / Share,NTM Levered Free Cash Flow,NTM FFO Per Share,NTM AFFO Per Share,Trailing Factors,LTM Revenues,LTM Gross Profit,LTM EBITDA,LTM EBIT,LTM Diluted EPS Before Extra ,LTM Book Value per Share ,LTM Tangible Book Value per Share 
31/12/14,0,13.67x,8.49x,20.72x,40.89x,54.58x,15.80x,0.063,0,0,0.034,0,14.55x,9.04x,0,23.41x,45.07x,50.42x,1.81x,1.81x,26.21x,17.93x,0,0.032,0,88.74,10286.27,6389.98,0,0,0,0,0,0,0,0,0,0,707.03,0,439.41,228.22,1.76,48.97,48.97
31/12/15,0,13.29x,7.79x,21.29x,44.51x,43.69x,49.11x,0.02,0,0,0.035,0,13.79x,8.08x,0,22.51x,43.68x,102.43x,1.91x,1.91x,28.49x,18.38x,0,0.033,0,90.36,11180.51,6550.81,0,0,0,0,0,0,0,0,0,0,810.57,0,496.79,255.98,0.88,47.25,47.25
31/12/16,0,12.99x,8.38x,21.47x,46.58x,58.92x,22.19x,0.045,0,0,0.03,0,15.26x,9.85x,0,24.92x,50.65x,(90.31x),2.36x,2.36x,22.96x,16.32x,0,0.029,0,111.13,13678.16,8824.83,0,0,0,0,0,0,0,0,0,0,896.06,0,548.89,270.04,-1.23,47.1,47.1
31/12/17,0,14.43x,10.18x,21.71x,48.07x,67.28x,31.66x,0,0,0,0.027,0,16.54x,11.66x,0,26.24x,61.40x,138.20x,2.31x,2.31x,34.49x,27.38x,0,0.026,0,130.59,17858.53,12590.97,0,1237.43,822.63,371.5,1.94,3.54,397.65,0,0,0,1079.5,0,680.56,290.87,0.94,56.53,56.53
31/12/18,0,12.68x,8.50x,19.28x,40.38x,46.13x,0,0,0,0,0.034,0,14.29x,9.58x,0,22.57x,49.39x,26.96x,1.79x,1.79x,35.70x,26.95x,0,0.032,0,115.24,18481.45,12391.37,0,1457.96,958.49,457.72,2.5,3.86,0,0,0,0,1293.06,0,818.76,374.23,4.27,64.25,64.25
31/12/19,0,16.01x,11.27x,24.23x,54.26x,57.71x,0,0,0,0,0.026,0,18.44x,12.98x,0,30.02x,69.24x,148.03x,2.34x,2.34x,60.54x,54.15x,0,0.024,0,161.58,26434.52,18606.05,0,1651.07,1090.96,487.16,2.8,4.13,0,0,0,0,1433.59,0,880.55,381.76,1.09,68.97,68.97
31/12/20,0,16.77x,12.08x,26.50x,56.34x,67.67x,0,0,0,0,0.025,0,18.08x,13.02x,0,29.06x,61.78x,41.41x,2.22x,2.32x,35.13x,28.37x,0,0.023,0,178.22,33385.92,24049.65,0,1991.11,1259.95,592.63,2.63,4.38,0,0,0,0,1847.01,0,1148.7,540.39,4.3,80.28,76.89
31/12/21,0,19.84x,14.87x,30.73x,66.05x,86.08x,0,0,0,0,0.021,0,22.90x,17.16x,0,37.36x,87.47x,34.23x,2.32x,2.43x,40.92x,32.98x,0,0.02,0,222.96,46108.99,34550.85,0,2323.84,1500.62,698.06,2.59,4.7,0,0,0,0,2013.82,0,1234.16,527.16,6.51,96.05,91.93
31/12/22,0,13.21x,8.32x,20.33x,54.60x,49.38x,0,0,0,0,0.033,0,15.18x,9.56x,0,25.32x,64.12x,43.29x,1.34x,1.40x,37.09x,26.65x,0,0.032,0,145.67,37942.69,23902.59,0,2872.6,1866.41,694.86,2.95,4.86,0,0,0,0,2499.1,0,1498.68,591.72,3.36,108.33,104.41
30/12/23,0,12.23x,7.25x,19.72x,61.74x,35.71x,11.93x,0.084,0,0,0.04,0,13.28x,7.87x,0,22.05x,52.87x,90.98x,1.18x,1.21x,21.17x,12.70x,0,0.039,0,126.77,37169.89,22029.51,0,3039.66,1885.3,602.08,3.55,5.03,1847.25,0,0,0,2799.55,0,1685.92,702.98,1.39,107.2,104.36
