Date,Forward Multiples,NTM Total Enterprise Value / Revenues ,NTM Price / Sales (P/S),NTM Total Enterprise Value / EBITDA ,NTM Total Enterprise Value / EBIT ,NTM Price / Normalized Earnings (P/E),NTM Market Cap / Free Cash Flow ,NTM Levered Free Cash Flow Yield,NTM Dividend Yield,Trailing Multiples,LTM Total Enterprise Value / Revenues ,LTM Price / Sales (P/S),LTM Total Enterprise Value / Gross Profit,LTM Total Enterprise Value / EBITDA ,LTM Total Enterprise Value / EBIT ,LTM Price / Diluted EPS (P/E) ,LTM Price / Book Value per Share ,LTM Price / Tangible Book Value per Share ,LTM Total Enterprise Value / Unlevered Free Cash Flow ,LTM Market Cap / Levered Free Cash Flow ,LTM Price / Net Current Asset Value ,LTM Dividend Yield,Price Factors,Price,Total Enterprise Value (MM),Market Cap (MM),Forward Factors,NTM Revenues ,NTM EBITDA ,NTM EBIT ,NTM Normalized Earnings Per Share ,NTM Dividend / Share,NTM Levered Free Cash Flow,Trailing Factors,LTM Revenues,LTM Gross Profit,LTM EBITDA,LTM EBIT,LTM Diluted EPS Before Extra ,LTM Book Value per Share ,LTM Tangible Book Value per Share ,LTM Dividend Per Share,LTM Unlevered Free Cash Flow ,LTM Levered Free Cash Flow ,LTM Net Current Asset Value Per Share
23/11/14,0,1.46x,0.93x,10.53x,14.11x,15.26x,13.55x,0.074,0.028,0,1.34x,0.85x,0,10.00x,13.49x,54.62x,2.62x,(2.86x),13.98x,10.33x,0,0.028,0,35.51,23629.13,15085.63,0,0,0,0,0,0,0,0,17687.8,0,2362.2,1751,0.65,13.56,-12.42,1,1690.78,1459.9,0
29/11/15,0,2.20x,1.53x,13.43x,17.18x,18.75x,17.78x,0.056,0.025,0,1.63x,1.14x,0,11.83x,15.86x,(32.34x),5.36x,(6.63x),24.13x,20.79x,0,0.024,0,41.65,25898.85,18030.75,0,0,0,0,0,0,0,0,15863.2,0,2188.6,1632.7,-1.29,7.77,-6.28,1,1073.34,867.21,0
27/11/16,0,2.57x,2.04x,14.04x,16.14x,20.84x,13.06x,0.077,0.022,0,1.81x,1.43x,0,10.98x,13.50x,33.31x,4.44x,(8.62x),14.29x,12.87x,0,0.027,0,37.71,20802.31,16508.31,0,0,0,0,0,0,0,0,11515.5,0,1894.2,1540.5,1.13,8.49,-4.38,1,1456.21,1282.21,0
26/11/17,0,2.28x,1.87x,11.67x,14.19x,18.55x,17.85x,0.056,0.024,0,2.28x,1.87x,0,12.87x,15.79x,25.94x,3.79x,(8.96x),14.56x,13.18x,0,0.024,0,35.46,17611.94,14485.34,0,7740.67,1509.71,1241.36,1.91,0.84,811.37,0,7735.5,0,1368.9,1115.5,1.37,9.35,-3.96,0.86,1209.89,1099.01,0
25/11/18,0,1.89x,1.52x,9.69x,11.87x,15.16x,15.36x,0.065,0.026,0,2.51x,2.02x,0,13.42x,16.16x,16.22x,3.41x,(6.63x),20.61x,18.68x,0,0.026,0,33.19,19966.47,16117.47,0,10587.4,2060.07,1681.4,2.19,0.86,1049.28,0,7968.5,0,1488.2,1235.7,2.05,9.74,-5,0.85,968.81,862.88,0
24/11/19,0,2.31x,1.30x,11.65x,13.93x,13.42x,11.59x,0.086,0.029,0,2.46x,1.39x,0,11.92x,14.38x,19.89x,1.86x,(1.65x),29.98x,26.09x,0,0.03,0,28.73,24788.57,13981.57,0,10750.5,2128.65,1779.42,2.14,0.85,1206.5,0,10094.7,0,2079.6,1724.4,1.44,15.44,-17.4,0.85,826.95,535.95,0
29/11/20,0,2.50x,1.62x,11.91x,14.58x,14.85x,16.10x,0.062,0.029,0,2.39x,1.55x,0,11.46x,13.59x,17.70x,2.16x,(2.30x),17.11x,13.68x,0,0.024,0,35.94,27098.34,17557.34,0,10833.51,2275.7,1858.71,2.42,1.06,1090.33,0,11342.6,0,2363.6,1993.9,2.03,16.62,-15.6,0.85,1583.89,1283.01,0
28/11/21,0,2.19x,1.34x,11.04x,13.55x,12.44x,11.19x,0.089,0.039,0,2.21x,1.36x,0,10.99x,13.02x,12.74x,1.77x,(2.18x),26.25x,22.00x,0,0.036,0,31.6,24691,15158.2,0,11291.61,2236.26,1822.63,2.54,1.24,1354.5,0,11159.1,0,2246.5,1896.7,2.48,17.84,-14.49,1.14,940.44,689,0
27/11/22,0,2.20x,1.46x,11.88x,14.79x,15.19x,16.43x,0.061,0.035,0,2.28x,1.51x,0,17.43x,20.22x,31.15x,2.09x,(2.84x),55.40x,73.06x,0,0.034,0,37.12,26837.15,17789.95,0,12215.08,2258.23,1814.84,2.44,1.31,1083,0,11786.9,0,1539.3,1327.1,1.19,17.74,-13.09,1.27,484.44,243.5,0
26/11/23,0,1.86x,1.11x,9.58x,11.49x,10.64x,9.41x,0.106,0.049,0,1.86x,1.11x,0,9.67x,11.46x,12.66x,1.53x,(2.48x),33.35x,32.31x,0,0.047,0,28.49,22868.2,13617.3,0,12310.82,2386.61,1991.13,2.68,1.39,1447.5,0,12276.7,0,2365.4,1995.9,2.25,18.59,-11.48,1.34,685.64,421.51,0
