Date,Forward Multiples,NTM Total Enterprise Value / Revenues ,NTM Price / Sales (P/S),NTM Total Enterprise Value / EBITDA ,NTM Total Enterprise Value / EBIT ,NTM Price / Normalized Earnings (P/E),NTM Market Cap / Free Cash Flow ,NTM Levered Free Cash Flow Yield,NTM Dividend Yield,Trailing Multiples,LTM Total Enterprise Value / Revenues ,LTM Price / Sales (P/S),LTM Total Enterprise Value / Gross Profit,LTM Total Enterprise Value / EBITDA ,LTM Total Enterprise Value / EBIT ,LTM Price / Diluted EPS (P/E) ,LTM Price / Book Value per Share ,LTM Price / Tangible Book Value per Share ,LTM Total Enterprise Value / Unlevered Free Cash Flow ,LTM Market Cap / Levered Free Cash Flow ,LTM Price / Net Current Asset Value ,Price Factors,Price,Total Enterprise Value (MM),Market Cap (MM),Forward Factors,NTM Revenues ,NTM EBITDA ,NTM EBIT ,NTM Normalized Earnings Per Share ,NTM Dividend / Share,NTM Levered Free Cash Flow,Trailing Factors,LTM Revenues,LTM Gross Profit,LTM EBITDA,LTM EBIT,LTM Diluted EPS Before Extra ,LTM Book Value per Share ,LTM Tangible Book Value per Share ,LTM Unlevered Free Cash Flow ,LTM Levered Free Cash Flow ,LTM Net Current Asset Value Per Share
31/12/14,0,1.47x,1.57x,55.57x,(338.61x),103.70x,(66.32x),-0.015,0,0,1.91x,2.04x,0,(359.16x),(73.17x),(53.93x),14.51x,14.51x,64.95x,80.16x,0,0,14.29,584.72,623.4,0,0,0,0,0,0,0,0,305.75,0,-1.63,-7.99,-0.26,0.98,0.98,9,7.78,0
31/12/15,0,0.45x,0.47x,(4.38x),(4.38x),(7.20x),18.28x,0.055,0,0,0.39x,0.40x,0,19.27x,(77.32x),(26.28x),2.96x,3.29x,(4.40x),(4.48x),0,0,3.51,153.63,159.12,0,0,0,0,0,0,0,0,396.83,0,7.97,-1.99,-0.13,1.18,1.07,-34.94,-35.49,0
31/12/16,0,0.21x,0.18x,(3.06x),(2.58x),(2.57x),(4.85x),-0.206,0,0,0.25x,0.21x,0,(1.38x),(1.15x),(0.67x),5.92x,12.58x,(8.50x),(6.28x),0,0,1.01,74.87,62.53,0,0,0,0,0,0,0,0,297.62,0,-54.41,-65.29,-1.51,0.17,0.08,-8.81,-9.95,0
31/12/17,0,0.73x,0.67x,27.65x,(98.18x),259.14x,(158.56x),-0.006,0,0,0.76x,0.69x,0,(9.96x),(7.04x),(3.35x),(26.21x),(16.96x),(27.92x),(18.50x),0,0,2.41,224.87,206.13,0,309.39,8.13,-2.29,0.01,0,-1.3,0,297.09,0,-22.57,-31.93,-0.72,-0.09,-0.14,-8.05,-11.14,0
31/12/18,0,1.38x,1.40x,24.44x,31.87x,20.04x,(111.22x),-0.009,0,0,1.64x,1.66x,0,47.86x,304.31x,(29.23x),121.01x,(8.87x),7.30x,7.74x,0,0,4.73,498.77,502.9,0,360.16,20.41,15.65,0.24,0,-4.52,0,303.54,0,10.42,1.64,-0.16,0.04,-0.53,68.35,64.94,0
31/12/19,0,4.11x,4.23x,19.61x,22.52x,24.77x,24.71x,0.04,0,0,6.14x,6.31x,0,38.68x,46.38x,69.64x,20.95x,33.33x,"4,498.34x","(1,280.65x)",0,0,26.13,3112.29,3197.94,0,756.82,158.73,138.23,1.06,0,129.42,0,506.59,0,80.46,67.1,0.38,1.25,0.78,0.69,-2.5,0
31/12/20,0,19.52x,19.77x,78.02x,98.67x,103.35x,99.76x,0.01,0,0,30.41x,30.80x,0,131.80x,143.12x,136.61x,53.23x,60.77x,156.18x,171.54x,0,0,175.47,21882.57,22167.58,0,1121.08,280.48,221.77,1.7,0,222.22,0,719.62,0,166.03,152.9,1.28,3.3,2.89,140.11,129.23,0
31/12/21,0,13.97x,14.17x,54.37x,116.43x,66.66x,94.95x,0.011,0,0,19.71x,20.00x,0,91.87x,100.89x,158.76x,38.08x,45.38x,132.35x,154.41x,0,0,182.94,24329.8,24680.88,0,1741.17,447.46,208.96,2.74,0,259.94,0,1234.17,0,264.84,241.15,1.15,4.8,4.03,183.82,159.84,0
31/12/22,0,12.11x,12.14x,39.90x,58.61x,52.35x,60.48x,0.017,0,0,17.78x,17.84x,0,89.25x,101.01x,127.59x,59.01x,111.23x,93.28x,86.39x,0,0,264.96,35906.44,36014.31,0,2966.02,899.8,612.59,5.06,0,595.46,0,2018.92,0,402.3,355.49,2.08,4.49,2.38,384.91,416.89,0
30/12/23,0,10.86x,11.15x,31.52x,69.91x,39.24x,34.27x,0.029,0,0,6.46x,6.63x,0,25.83x,28.34x,33.22x,17.72x,24.89x,32.49x,33.19x,0,0,132.14,17521.09,17988.25,0,1613.94,555.91,250.64,3.37,0,524.97,0,2712.87,0,678.29,618.19,3.98,7.46,5.31,539.33,541.96,0
