Date,Forward Multiples,NTM Total Enterprise Value / Revenues ,NTM Price / Sales (P/S),NTM Total Enterprise Value / EBITDA ,NTM Total Enterprise Value / EBIT ,NTM Price / Normalized Earnings (P/E),NTM Market Cap / Free Cash Flow ,NTM Levered Free Cash Flow Yield,NTM Dividend Yield,Trailing Multiples,LTM Total Enterprise Value / Revenues ,LTM Price / Sales (P/S),LTM Total Enterprise Value / Gross Profit,LTM Total Enterprise Value / EBITDA ,LTM Total Enterprise Value / EBIT ,LTM Price / Diluted EPS (P/E) ,LTM Price / Book Value per Share ,LTM Price / Tangible Book Value per Share ,LTM Total Enterprise Value / Unlevered Free Cash Flow ,LTM Market Cap / Levered Free Cash Flow ,LTM Price / Net Current Asset Value ,LTM Dividend Yield,Price Factors,Price,Total Enterprise Value (MM),Market Cap (MM),Forward Factors,NTM Revenues ,NTM EBITDA ,NTM EBIT ,NTM Normalized Earnings Per Share ,NTM Dividend / Share,NTM Levered Free Cash Flow,Trailing Factors,LTM Revenues,LTM Gross Profit,LTM EBITDA,LTM EBIT,LTM Diluted EPS Before Extra ,LTM Book Value per Share ,LTM Tangible Book Value per Share ,LTM Dividend Per Share,LTM Unlevered Free Cash Flow ,LTM Levered Free Cash Flow ,LTM Net Current Asset Value Per Share
30/11/14,0,1.09x,1.04x,7.35x,11.79x,18.81x,17.45x,0.057,0.005,0,1.14x,1.09x,0,8.46x,14.22x,24.37x,3.34x,4.09x,72.31x,81.81x,0,0.004,0,178.18,52788.84,50468.84,0,0,0,0,0,0,0,0,46227,0,6237,3712,7.31,53.38,43.59,0.7,730,616.88,0
30/11/15,0,0.96x,0.89x,6.03x,9.18x,14.29x,19.55x,0.051,0.007,0,1.01x,0.93x,0,6.72x,10.51x,41.77x,2.93x,3.90x,42.36x,45.30x,0,0.006,0,158.54,48483.44,44768.44,0,0,0,0,0,0,0,0,48048,0,7220,4612,3.8,54.12,40.69,0.9,1144.5,988.25,0
30/11/16,0,1.03x,0.85x,7.08x,10.95x,15.42x,38.68x,0.026,0.008,0,1.17x,0.97x,0,7.97x,12.30x,28.67x,3.65x,7.01x,40.76x,40.01x,0,0.007,0,191.67,61731.22,50938.22,0,0,0,0,0,0,0,0,52749,0,7742,5020,6.69,52.57,27.36,1.3,1514.5,1273.25,0
30/11/17,0,1.15x,0.97x,8.23x,12.37x,17.38x,71.23x,0.014,0.008,0,1.21x,1.02x,0,9.29x,14.96x,21.82x,3.79x,6.82x,88.56x,121.28x,0,0.008,0,231.46,73718.46,62065.46,0,63939.94,8961.43,5961.46,13.32,1.89,871.39,0,60953,0,7934,4927,10.61,61.1,33.96,1.8,832.38,511.75,0
30/11/18,0,1.04x,0.84x,7.69x,11.38x,12.52x,37.80x,0.026,0.012,0,1.11x,0.90x,0,8.80x,13.98x,12.93x,3.15x,4.90x,"(1,702.73x)",(154.14x),0,0.01,0,229,74920.13,60345.13,0,72106.14,9738.6,6581.54,18.29,2.73,1596.5,0,67205,0,8512,5360,17.71,72.76,46.69,2.3,-44,-391.5,0
30/11/19,0,1.02x,0.59x,9.28x,16.79x,12.94x,52.11x,0.019,0.018,0,1.04x,0.60x,0,14.66x,48.21x,94.02x,2.30x,3.68x,(49.72x),(22.88x),0,0.016,0,160.05,72163.69,41758.69,0,70869.52,7775.94,4297.59,12.37,2.84,801.42,0,69689,0,4921,1497,1.7,69.63,43.48,2.6,-1451.38,-1825.13,0
30/11/20,0,1.38x,0.98x,11.69x,19.57x,18.54x,28.41x,0.035,0.01,0,1.49x,1.05x,0,15.11x,31.50x,42.20x,3.87x,5.87x,(636.70x),(122.09x),0,0.009,0,286.58,106328.61,75253.61,0,77067.8,9096.94,5432.94,15.46,2.95,2648.5,0,71490,0,7038,3376,6.79,74.11,48.86,2.6,-167,-616.38,0
30/11/21,0,0.99x,0.67x,8.12x,12.80x,11.20x,19.68x,0.051,0.013,0,1.05x,0.71x,0,7.76x,11.56x,12.23x,2.52x,3.50x,25.19x,19.62x,0,0.012,0,230.37,90668.8,61197.8,0,91469.81,11159.96,7085.72,20.57,3.1,3109.5,0,86641,0,11684,7846,18.84,91.55,65.79,2.8,3599.75,3119.13,0
30/11/22,0,0.82x,0.50x,8.18x,14.58x,11.92x,48.12x,0.021,0.026,0,0.83x,0.50x,0,8.08x,13.83x,13.44x,1.89x,2.52x,42.48x,33.35x,0,0.021,0,182.22,78212.25,47417.25,0,95177.27,9564.82,5362.72,15.29,4.78,985.33,0,94751,0,9679,5656,13.56,96.61,72.34,3.8,1841,1421.63,0
30/11/23,0,1.06x,0.72x,8.86x,14.67x,13.67x,21.64x,0.046,0.02,0,1.09x,0.73x,0,8.79x,14.31x,15.79x,2.45x,3.24x,29.50x,22.75x,0,0.019,0,258.83,96236.15,65075.15,0,90840.09,10860.54,6558.45,18.93,5.24,3007.5,0,88594,0,10949,6726,16.4,105.54,79.99,4.82,3262.75,2860.88,0
