Date,Forward Multiples,NTM Total Enterprise Value / Revenues ,NTM Price / Sales (P/S),NTM Total Enterprise Value / EBITDA ,NTM Total Enterprise Value / EBIT ,NTM Price / Normalized Earnings (P/E),NTM Market Cap / Free Cash Flow ,NTM Levered Free Cash Flow Yield,NTM Dividend Yield,Trailing Multiples,LTM Total Enterprise Value / Revenues ,LTM Price / Sales (P/S),LTM Total Enterprise Value / Gross Profit,LTM Total Enterprise Value / EBITDA ,LTM Total Enterprise Value / EBIT ,LTM Price / Diluted EPS (P/E) ,LTM Price / Book Value per Share ,LTM Price / Tangible Book Value per Share ,LTM Total Enterprise Value / Unlevered Free Cash Flow ,LTM Market Cap / Levered Free Cash Flow ,LTM Price / Net Current Asset Value ,LTM Dividend Yield,Price Factors,Price,Total Enterprise Value (MM),Market Cap (MM),Forward Factors,NTM Revenues ,NTM EBITDA ,NTM EBIT ,NTM Normalized Earnings Per Share ,NTM Dividend / Share,NTM Levered Free Cash Flow,Trailing Factors,LTM Revenues,LTM Gross Profit,LTM EBITDA,LTM EBIT,LTM Diluted EPS Before Extra ,LTM Book Value per Share ,LTM Tangible Book Value per Share ,LTM Dividend Per Share,LTM Unlevered Free Cash Flow ,LTM Levered Free Cash Flow ,LTM Net Current Asset Value Per Share
31/12/14,0,1.97,0.6,9.51,15.51,13.72,10.19,0.098,0.02,0,2.08,0.63,0,11.15,24.57,-30.61,0.92,1.98,50.61,-192.85,0,0.02,0,26.95,30093.03,9112.03,0,0,0,0,0,0,0,0,14471,0,2698,1225,-0.88,29.4,13.63,0.54,594.63,-47.25,0
31/12/15,0,1.71,0.26,8.19,14.91,31.67,5.41,0.185,0.05,0,1.55,0.23,0,7.74,17,-303.08,0.41,0.86,13.29,3.3,0,0.049,0,11.77,24594.86,3697.86,0,0,0,0,0,0,0,0,15846,0,3176,1447,-0.04,28.86,13.61,0.58,1850.38,1122.25,0
31/12/16,0,1.9,0.32,9.59,25.4,-14.26,5.38,0.186,0.01,0,1.82,0.3,0,8.43,18.5,-0.64,1.27,-61.39,15.32,4.62,0,0.019,0,12.26,23304.29,3867.29,0,0,0,0,0,0,0,0,12830,0,2766,1260,-19.17,9.64,-0.2,0.24,1521.5,837.25,0
31/12/17,0,2.35,0.78,9.58,21.64,22.88,8.55,0.117,0.004,0,2.25,0.74,0,11.24,26.88,-16.46,7.62,-6.85,22.54,15.76,0,0.004,0,28.48,27364.96,9017.96,0,11620.51,2855.85,1264.31,1.25,0.12,1054.25,0,12155,0,2434,1018,-1.73,3.74,-4.16,0.12,1214.25,572.38,0
31/12/18,0,2.02,1.33,9.62,13.93,11.4,4.33,0.231,0.003,0,1.55,1.03,0,6.4,10.58,-13.06,-12.27,-5.53,14.22,14.8,0,0.003,0,39.6,17377.23,11481.23,0,8604.52,1806.03,1247.83,3.47,0.12,2654.54,0,11178,0,2714,1643,-3.03,-3.23,-7.16,0.12,1221.88,776,0
31/12/19,0,1.4,0.85,8.7,7.13,6.12,7.61,0.131,0.003,0,1.71,1.04,0,9.83,13.85,19.31,-6.38,-3.35,15.4,12.17,0,0.003,0,39.75,16449.87,10000.87,0,11730.78,1891,2306.01,6.49,0.12,1314.13,0,9618,0,1674,1188,2.06,-6.23,-11.87,0.12,1068.5,821.5,0
31/12/20,0,1.33,0.83,7.69,7.97,5.43,6.2,0.161,0.034,0,1.58,0.99,0,7.39,10.74,2.25,4.74,14.46,11.58,8.73,0,0.032,0,37.55,14634.49,9170.49,0,11036.61,1903.74,1836.71,6.92,1.27,1480,0,9261,0,1980,1362,16.69,7.92,2.6,1.2,1263.25,1050.38,0
31/12/21,0,1.13,0.62,8.61,8.61,10.67,8.66,0.115,0.032,0,0.87,0.48,0,3.74,4.52,4.32,2.59,-16.53,22.04,17.13,0,0.03,0,43.08,19085.65,10547.65,0,16950.68,2217.62,2216.24,4.04,1.37,1217.98,0,21970,0,5107,4227,9.98,16.66,-2.61,1.3,865.88,615.88,0
31/12/22,0,0.59,0.28,6.83,9.77,7.48,5.22,0.192,0.047,0,0.5,0.24,0,3.88,5.02,4.04,1.44,5.89,15.2,9.54,0,0.044,0,31.82,15312.83,7330.83,0,26017.7,2242.78,1568.07,4.25,1.48,1404.88,0,30734,0,3950,3049,7.88,22.1,5.4,1.4,1007.63,768.63,0
30/12/23,0,0.76,0.37,7.11,6.73,4.39,5.61,0.178,0.032,0,0.8,0.39,0,-38.65,-13.03,-6.54,4.13,-1.83,8.48,4.68,0,0.029,0,51.7,23811.02,11672.02,0,31494.42,3347.31,3538.59,11.77,1.65,2080.33,0,29871,0,-616,-1828,-7.9,12.51,-28.26,1.51,2807.5,2495.5,0
