Date,Forward Multiples,NTM Total Enterprise Value / Revenues ,NTM Price / Sales (P/S),NTM Total Enterprise Value / EBITDA ,NTM Total Enterprise Value / EBIT ,NTM Price / Normalized Earnings (P/E),NTM Market Cap / Free Cash Flow ,NTM Levered Free Cash Flow Yield,NTM Dividend Yield,Trailing Multiples,LTM Total Enterprise Value / Revenues ,LTM Price / Sales (P/S),LTM Total Enterprise Value / Gross Profit,LTM Total Enterprise Value / EBITDA ,LTM Total Enterprise Value / EBIT ,LTM Price / Diluted EPS (P/E) ,LTM Price / Book Value per Share ,LTM Price / Tangible Book Value per Share ,LTM Total Enterprise Value / Unlevered Free Cash Flow ,LTM Market Cap / Levered Free Cash Flow ,LTM Price / Net Current Asset Value ,LTM Dividend Yield,Price Factors,Price,Total Enterprise Value (MM),Market Cap (MM),Forward Factors,NTM Revenues ,NTM EBITDA ,NTM EBIT ,NTM Normalized Earnings Per Share ,NTM Dividend / Share,NTM Levered Free Cash Flow,Trailing Factors,LTM Revenues,LTM Gross Profit,LTM EBITDA,LTM EBIT,LTM Diluted EPS Before Extra ,LTM Book Value per Share ,LTM Tangible Book Value per Share ,LTM Dividend Per Share,LTM Unlevered Free Cash Flow ,LTM Levered Free Cash Flow ,LTM Net Current Asset Value Per Share
31/12/14,0,2.17x,1.93x,11.39x,13.57x,20.95x,19.82x,0.05,0.014,0,2.49x,2.22x,0,13.04x,17.70x,31.49x,3.61x,19.57x,26.20x,25.08x,0,0.013,0,64.85,4328.03,3853.52,0,0,0,0,0,0,0,0,1738.82,0,331.89,244.52,2.06,17.94,3.31,0.86,165.22,153.63,0
31/12/15,0,2.70x,2.45x,12.82x,14.96x,19.91x,33.27x,0,0.014,0,3.76x,3.41x,0,20.87x,27.69x,40.33x,4.14x,283.24x,44.67x,44.52x,0,0.012,0,75.34,7135.38,6466.92,0,0,0,0,0,0,0,0,1896.77,0,341.94,257.69,1.87,18.21,0.27,0.94,159.73,145.26,0
31/12/16,0,2.57x,2.11x,11.24x,13.56x,16.37x,18.81x,0.053,0.017,0,2.71x,2.22x,0,12.21x,18.81x,34.01x,1.92x,(31.45x),27.52x,25.80x,0,0.015,0,67.39,7002.45,5741.57,0,0,0,0,0,0,0,0,2587.96,0,573.69,372.19,1.98,35.12,-2.14,1.03,254.46,222.52,0
31/12/17,0,3.24x,2.80x,13.29x,16.11x,20.52x,23.90x,0.042,0.015,0,3.35x,2.89x,0,15.73x,23.05x,52.15x,2.46x,(121.83x),39.12x,39.14x,0,0.013,0,87.47,8600.03,7439.53,0,2657.02,646.88,533.78,4.26,1.27,311.25,0,2570.09,0,546.62,373.14,1.68,35.6,-0.72,1.15,219.86,190.06,0
31/12/18,0,3.59x,3.21x,14.41x,17.04x,21.29x,22.95x,0.044,0.013,0,3.74x,3.35x,0,16.31x,23.11x,29.03x,2.90x,82.84x,34.48x,34.41x,0,0.012,0,106.85,10093.72,9028.79,0,2814.32,700.45,592.44,5.02,1.38,393.36,0,2695.59,0,618.91,436.8,3.68,36.9,1.29,1.27,292.74,262.36,0
31/12/19,0,4.56x,4.21x,17.92x,21.55x,26.30x,10.63x,0.094,0.01,0,4.83x,4.46x,0,19.28x,27.16x,38.78x,3.99x,37.77x,40.00x,40.11x,0,0.009,0,152.42,14009.65,12922.64,0,3072.67,781.93,649.97,5.8,1.48,1215.28,0,2898.09,0,726.5,515.88,3.93,38.18,4.04,1.39,350.28,322.15,0
31/12/20,0,5.13x,4.86x,19.70x,22.85x,29.00x,35.86x,0.028,0.009,0,5.64x,5.35x,0,21.77x,29.43x,38.45x,4.43x,23.79x,50.71x,51.73x,0,0.008,0,189.54,17041.46,16172.31,0,3325.01,864.87,745.8,6.54,1.62,451,0,3022.32,0,782.84,578.97,4.93,42.78,7.97,1.51,336.09,312.62,0
31/12/21,0,5.72x,5.04x,20.27x,24.35x,29.78x,49.14x,0.02,0.007,0,7.18x,6.33x,0,35.88x,58.34x,88.51x,3.71x,(15.76x),618.16x,"1,135.66x",0,0.007,0,243.41,27616.55,24346.6,0,4828.43,1362.77,1134.06,8.17,1.75,495.41,0,3847.86,0,769.72,473.41,2.75,65.55,-15.45,1.63,44.68,21.44,0
31/12/22,0,4.21x,3.63x,15.15x,17.20x,20.93x,20.92x,0.048,0.01,0,4.48x,3.86x,0,16.15x,30.53x,"(2,270.29x)",3.18x,(18.81x),35.56x,33.94x,0,0.01,0,184.69,21391.79,18436.3,0,5082.17,1412.3,1243.78,8.82,1.93,881.25,0,4776.67,0,1324.97,700.79,-0.08,58.1,-9.82,1.76,601.6,543.13,0
30/12/23,0,4.46x,3.85x,16.47x,18.89x,24.07x,29.33x,0.034,0.01,0,4.81x,4.15x,0,18.12x,30.74x,39.88x,3.52x,(23.61x),44.18x,44.42x,0,0.009,0,219.85,25151.96,21721.22,0,5639.49,1526.9,1331.72,9.13,2.13,740.55,0,5227.73,0,1388.43,818.1,5.51,62.54,-9.31,1.93,569.26,488.95,0
