Date,Forward Multiples,NTM Total Enterprise Value / Revenues ,NTM Price / Sales (P/S),NTM Total Enterprise Value / EBITDA ,NTM Total Enterprise Value / EBIT ,NTM Price / Normalized Earnings (P/E),NTM Market Cap / Free Cash Flow ,NTM Levered Free Cash Flow Yield,NTM Price / FFO Per Share,NTM Price / AFFO Per Share,NTM Dividend Yield,Trailing Multiples,LTM Total Enterprise Value / Revenues ,LTM Price / Sales (P/S),LTM Total Enterprise Value / Gross Profit,LTM Total Enterprise Value / EBITDA ,LTM Total Enterprise Value / EBIT ,LTM Price / Diluted EPS (P/E) ,LTM Price / Book Value per Share ,LTM Price / Tangible Book Value per Share ,LTM Total Enterprise Value / Unlevered Free Cash Flow ,LTM Market Cap / Levered Free Cash Flow ,LTM Price / Net Current Asset Value ,LTM Dividend Yield,Price Factors,Price,Total Enterprise Value (MM),Market Cap (MM),Forward Factors,NTM Revenues ,NTM EBITDA ,NTM EBIT ,NTM Normalized Earnings Per Share ,NTM Dividend / Share,NTM Levered Free Cash Flow,NTM FFO Per Share,NTM AFFO Per Share,Trailing Factors,LTM Revenues,LTM Gross Profit,LTM EBITDA,LTM EBIT,LTM Diluted EPS Before Extra ,LTM Book Value per Share ,LTM Tangible Book Value per Share 
31/12/14,0,2.92x,2.43x,12.35x,16.53x,23.33x,23.64x,0.042,0,0,0.032,0,2.61x,2.17x,0,12.59x,17.49x,29.68x,3.23x,3.25x,7.22x,6.49x,0,0.026,0,35.89,22615.41,18819.41,0,0,0,0,0,0,0,0,0,0,8658,0,1797,1293,1.21,11.12,11.04
31/12/15,0,2.64x,2.06x,11.55x,16.84x,22.12x,25.06x,0.04,0,0,0.041,0,2.76x,2.14x,0,12.96x,19.02x,27.55x,3.15x,3.18x,20.42x,20.54x,0,0.039,0,29.98,19671.14,15303.14,0,0,0,0,0,0,0,0,0,0,7136,0,1518,1034,1.09,9.52,9.44
31/12/16,0,4.48x,3.30x,16.09x,24.39x,31.67x,25.25x,0.04,0,0,0.042,0,3.88x,2.86x,0,17.32x,25.11x,40.04x,2.45x,2.46x,49.09x,62.07x,0,0.041,0,30.09,30562.13,22509.13,0,0,0,0,0,0,0,0,0,0,7871,0,1765,1217,0.75,12.29,12.23
31/12/17,0,4.37x,3.56x,15.02x,21.53x,26.47x,23.17x,0.043,0,0,0.036,0,4.68x,3.82x,0,18.23x,25.91x,71.04x,2.94x,2.95x,13.21x,12.01x,0,0.035,0,35.26,32624.29,26615.29,0,7471.35,2171.44,1515.41,1.33,1.27,1148.45,0,0,0,6971,0,1790,1259,0.5,12.01,11.96
31/12/18,0,3.02x,2.20x,12.37x,18.45x,22.62x,13.70x,0.073,0,0,0.061,0,2.93x,2.14x,0,10.71x,13.95x,14.88x,1.81x,1.82x,24.12x,23.48x,0,0.059,0,21.86,22461.51,16377.51,0,7427.84,1816.39,1217.6,0.97,1.34,1195.38,0,0,0,7664,0,2098,1610,1.47,12.09,12.04
31/12/19,0,4.28x,3.31x,19.35x,33.59x,48.42x,23.56x,0.042,0,0,0.045,0,4.38x,3.39x,0,24.21x,41.87x,(145.46x),2.62x,2.62x,52.50x,71.87x,0,0.045,0,30.2,29102.3,22503.3,0,6797.39,1504.09,866.48,0.62,1.36,955,0,0,0,6642,0,1202,695,-0.21,11.54,11.54
31/12/20,0,4.10x,3.39x,14.97x,21.42x,28.31x,22.04x,0.045,0,0,0.02,0,4.31x,3.57x,0,18.46x,26.19x,50.98x,2.93x,2.93x,17.90x,17.29x,0,0.02,0,33.53,30244.56,25027.56,0,7372.66,2019.77,1412.05,1.18,0.68,1135.63,0,0,0,7017,0,1638,1155,0.66,11.42,11.42
31/12/21,0,3.88x,3.54x,12.89x,17.26x,21.44x,17.51x,0.057,0,0,0.066,0,3.36x,3.07x,0,8.45x,9.58x,12.44x,2.97x,2.97x,10.91x,10.78x,0,0.017,0,41.18,33792.67,30845.67,0,8709.16,2621.79,1957.74,1.92,2.73,1761.42,0,0,0,10058,0,3999,3526,3.31,13.84,13.84
31/12/22,0,3.15x,2.77x,13.45x,18.61x,26.94x,16.75x,0.06,0,0,0.024,0,2.46x,2.16x,0,6.77x,7.75x,10.14x,2.11x,2.11x,12.57x,12.07x,0,0.023,0,31,25968.43,22813.43,0,8250.54,1931.02,1395.07,1.15,0.75,1361.75,0,0,0,10567,0,3833,3352,3.06,14.69,14.69
30/12/23,0,3.83x,3.25x,17.41x,25.08x,33.31x,23.56x,0.042,0,0,0.03,0,3.87x,3.29x,0,18.67x,26.99x,40.39x,2.48x,2.48x,24.47x,24.14x,0,0.022,0,34.77,29909.13,25382.13,0,7816.01,1717.5,1192.67,1.04,1.06,1077.5,0,0,0,7723,0,1602,1108,0.86,14.01,14.01
