Date,Return Ratios:,Return on Assets % ,Return on Capital % ,Return On Equity % ,Return on Common Equity % ,Margin Analysis:,Gross Profit Margin % ,SG&A Margin % ,EBITDA Margin % ,EBITA Margin % ,EBIT Margin % ,EBT Margin %,EBT Excl. Non-Recurring Items Margin % ,Income From Continuing Operations Margin % ,Net Income Margin % ,Normalized Net Income Margin % ,Net Avail. For Common Margin % ,Levered Free Cash Flow Margin % ,Unlevered Free Cash Flow Margin % ,Asset Turnover:,Asset Turnover ,Fixed Assets Turnover ,Receivables Turnover ,Inventory Turnover ,Working Capital Turnover,Short Term Liquidity:,Current Ratio ,Quick Ratio ,Dividend Payout %,Dividend Yield % ,Op Cash Flow to Current Liab ,Avg. Cash Conversion Cycle ,Avg. Days Sales Outstanding ,Avg. Days Outstanding Inventory ,Avg. Days Payable Outstanding ,Long-Term Solvency:,Total Debt / Equity,Total Debt / Capital ,Total Liabilities / Total Assets ,EBIT / Interest Expense,EBITDA / Interest Expense,(EBITDA - Capex) / Interest Expense,FFO Interest Coverage ,FFO to Total Debt (x) ,Total Debt / EBITDA,Net Debt / EBITDA,Net Debt / (EBITDA - Capex),Industry Metrics:,Nonperforming Loans / Total Loans %,Nonperforming Loans / Total Assets %,Nonperforming Assets / Total Assets %,Nonperforming Assets / Equity %,Allowance for Credit Losses / Net Charge-offs %,Allowance for Credit Losses / Nonperforming Loans %,Allowance for Credit Losses / Total Loans %,Net Charge-offs / Total Average Loans %,Provision for Loan Losses / Net Charge-offs %,Earning Assets / Interest Bearing Liabilities %,Interest Income / Average Assets %,Interest Expense / Average Assets %,Net Interest Income / Average Assets %,Total Average Common Equity / Total Average Assets % ,Total Equity + Allowance for Loan Losses / Total Loans % ,Gross Loans / Total Deposits %,Tier 1 Capital Ratio % ,Total Capital Ratio % ,Core Tier 1 Capital Ratio % ,Tier 2 Capital Ratio % ,Equity Tier 1 Capital Ratio % 
30/06/14,0,0.035,0.198,0.193,0.193,0,0.429,0.232,0.204,0.191,0.177,0,0,0.122,0.148,0.114,0.122,-0.281,-0.28,0,0.32x,14.65x,6.37x,0,3.08x,0,1.14x,0.12x,0,0,0.08x,0,57.31,0,9.64,0,0.328,0.238,0.792,297.56x,341.26x,315.07x,0,0,1.05x,0.34x,0.37x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/06/15,0,0.038,0.397,0.24,0.24,0,0.431,0.229,0.209,0.197,0.183,0,0,0.126,0.133,0.117,0.126,0.492,0.493,0,0.33x,16.33x,6.93x,0,6.45x,0,1.06x,0.12x,0,0,0.07x,0,52.63,0,10.17,0,0.002,0.002,0.855,308.20x,350.95x,326.52x,0,0,0.00x,(0.74x),(0.79x),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/06/16,0,0.036,0.332,0.322,0.322,0,0.432,0.222,0.217,0.205,0.192,0,0,0.128,0.128,0.12,0.128,0.085,0.088,0,0.27x,17.19x,6.86x,0,3.19x,0,1.10x,0.14x,0,0,0.05x,0,53.32,0,9.57,0,0.448,0.298,0.897,39.83x,44.97x,41.97x,0,0,0.79x,(0.48x),(0.51x),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/06/17,0,0.039,0.406,0.423,0.423,0,0.433,0.213,0.227,0.215,0.202,0,0,0.145,0.145,0.126,0.145,0.215,0.219,0,0.33x,16.89x,6.95x,0,4.35x,0,1.10x,0.15x,0,0,0.07x,0,52.52,0,7.85,0,0.503,0.326,0.893,31.21x,35.16x,32.16x,0,0,0.71x,(0.28x),(0.31x),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/06/18,0,0.043,0.361,0.433,0.433,0,0.436,0.218,0.226,0.213,0.198,0,0,0.142,0.142,0.123,0.142,0.25,0.255,0,0.34x,16.87x,6.95x,0,9.41x,0,1.05x,0.14x,0,0,0.08x,0,52.55,0,6.95,0,0.423,0.276,0.878,25.54x,29.22x,27.21x,0,0,0.67x,(0.06x),(0.06x),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/06/19,0,0.047,0.364,0.452,0.452,0,0.453,0.217,0.244,0.231,0.215,0,0,0.162,0.162,0.133,0.162,0.136,0.142,0,0.34x,18.11x,6.13x,0,8.23x,0,1.05x,0.13x,0,0,0.08x,0,59.59,0,6.17,0,0.419,0.272,0.871,23.33x,26.48x,25.24x,0,0,0.66x,0.09x,0.09x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/06/20,0,0.05,0.36,0.442,0.442,0,0.446,0.201,0.253,0.24,0.22,0,0,0.169,0.169,0.137,0.169,0.153,0.157,0,0.37x,14.87x,5.76x,0,10.15x,0,1.05x,0.14x,0,0,0.10x,0,63.59,0,5.15,0,0.427,0.275,0.853,30.03x,36.16x,34.55x,0,0,0.63x,0.14x,0.15x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/06/21,0,0.048,0.352,0.455,0.455,0,0.451,0.199,0.259,0.247,0.225,0,0,0.173,0.173,0.14,0.173,0.243,0.245,0,0.31x,12.80x,5.64x,0,5.67x,0,1.07x,0.14x,0,0,0.08x,0,64.68,0,5.39,0,0.608,0.359,0.884,56.67x,68.02x,65.03x,0,0,0.85x,0.21x,0.22x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/06/22,0,0.043,0.558,0.663,0.663,0,0.451,0.194,0.264,0.254,0.233,0,0,0.179,0.179,0.144,0.179,0.318,0.321,0,0.26x,14.66x,5.44x,0,(46.63x),0,0.99x,0.08x,0,0,0.06x,0,67.08,0,5.07,0,1.113,0.522,0.949,46.87x,55.08x,52.95x,0,0,0.80x,0.47x,0.49x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/06/23,0,0.05,0.64,1.013,1.013,0,0.472,0.194,0.284,0.274,0.253,0,0,0.189,0.189,0.155,0.189,0.266,0.274,0,0.35x,16.47x,5.57x,0,(30.17x),0,0.99x,0.12x,0,0,0.10x,0,65.58,0,3.98,0,1.009,0.497,0.931,18.00x,20.77x,19.96x,0,0,0.67x,0.27x,0.29x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0.061,0.637,1.155,1.155,0,0.475,0.196,0.284,0.275,0.254,0,0,0.191,0.191,0.154,0.191,0.194,0.204,0,0.37x,17.40x,5.78x,0,(24.46x),0,0.98x,0.11x,0,0.022,0.09x,0,63.16,0,2.85,0,1.084,0.515,0.93,15.84x,18.25x,17.57x,0,0,0.70x,0.43x,0.45x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
