Date,Return Ratios:,Return on Assets % ,Return on Capital % ,Return On Equity % ,Return on Common Equity % ,Margin Analysis:,Gross Profit Margin % ,SG&A Margin % ,EBITDA Margin % ,EBITA Margin % ,EBIT Margin % ,EBT Margin %,EBT Excl. Non-Recurring Items Margin % ,Income From Continuing Operations Margin % ,Net Income Margin % ,Normalized Net Income Margin % ,Net Avail. For Common Margin % ,Levered Free Cash Flow Margin % ,Unlevered Free Cash Flow Margin % ,Asset Turnover:,Asset Turnover ,Fixed Assets Turnover ,Receivables Turnover ,Inventory Turnover ,Working Capital Turnover,Short Term Liquidity:,Current Ratio ,Quick Ratio ,Dividend Payout %,Dividend Yield % ,Op Cash Flow to Current Liab ,Avg. Cash Conversion Cycle ,Avg. Days Sales Outstanding ,Avg. Days Outstanding Inventory ,Avg. Days Payable Outstanding ,Long-Term Solvency:,Total Debt / Equity,Total Debt / Capital ,Total Liabilities / Total Assets ,EBIT / Interest Expense,EBITDA / Interest Expense,(EBITDA - Capex) / Interest Expense,FFO Interest Coverage ,FFO to Total Debt (x) ,Total Debt / EBITDA,Net Debt / EBITDA,Net Debt / (EBITDA - Capex),Industry Metrics:,Nonperforming Loans / Total Loans %,Nonperforming Loans / Total Assets %,Nonperforming Assets / Total Assets %,Nonperforming Assets / Equity %,Allowance for Credit Losses / Net Charge-offs %,Allowance for Credit Losses / Nonperforming Loans %,Allowance for Credit Losses / Total Loans %,Net Charge-offs / Total Average Loans %,Provision for Loan Losses / Net Charge-offs %,Earning Assets / Interest Bearing Liabilities %,Interest Income / Average Assets %,Interest Expense / Average Assets %,Net Interest Income / Average Assets %,Total Average Common Equity / Total Average Assets % ,Total Equity + Allowance for Loan Losses / Total Loans % ,Gross Loans / Total Deposits %,Tier 1 Capital Ratio % ,Total Capital Ratio % ,Core Tier 1 Capital Ratio % ,Tier 2 Capital Ratio % ,Equity Tier 1 Capital Ratio % 
31/12/13,0,0.017,0.029,0.037,0.033,0,0.7,0.077,0.618,0.319,0.324,0,0,0.221,0.216,0.129,0.171,0.464,0.516,0,0.08x,0.10x,3.26x,0,4.97x,0,1.80x,1.63x,0,0,1.97x,0,112,0,196.52,0,0.771,0.435,0.472,3.01x,5.74x,5.74x,0,0,7.86x,7.71x,7.71x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/12/14,0,0.018,0.03,0.027,0.02,0,0.699,0.074,0.621,0.318,0.317,0,0,0.145,0.14,0.123,0.097,0.503,0.556,0,0.09x,0.11x,3.23x,0,5.33x,0,1.49x,1.19x,0,0,1.20x,0,113.17,0,263.95,0,0.941,0.485,0.519,2.91x,5.70x,5.70x,0,0,8.14x,7.95x,7.95x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/12/15,0,0.019,0.032,0.036,0.033,0,0.691,0.071,0.613,0.31,0.311,0,0,0.173,0.171,0.114,0.138,0.445,0.511,0,0.10x,0.12x,3.05x,0,4.65x,0,1.60x,1.38x,0,0,1.14x,0,119.54,0,320.51,0,0.918,0.479,0.517,2.49x,4.90x,4.90x,0,0,7.60x,7.36x,7.36x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/12/16,0,0.017,0.028,-0.01,-0.036,0,0.698,0.069,0.622,0.29,0.288,0,0,-0.054,-0.072,0.09,-0.164,0.576,0.635,0,0.09x,0.11x,2.66x,0,9.30x,0,1.22x,1.16x,0,0,0.89x,0,137.45,0,398.34,0,0.774,0.436,0.48,2.49x,5.36x,5.36x,0,0,7.27x,7.04x,7.04x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/12/17,0,0.017,0.028,0.033,0.028,0,0.712,0.066,0.628,0.277,0.276,0,0,0.172,0.15,0.079,0.129,0.383,0.444,0,0.09x,0.12x,2.59x,0,3.26x,0,1.78x,1.68x,0,0,1.02x,0,140.88,0,401.34,0,0.735,0.424,0.464,2.43x,5.52x,5.52x,0,0,6.71x,6.35x,6.35x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/12/18,0,0.018,0.029,0.056,0.055,0,0.715,0.068,0.63,0.298,0.289,0,0,0.302,0.284,0.153,0.273,0.308,0.374,0,0.09x,0.12x,2.47x,0,2.40x,0,2.70x,2.50x,0,0,1.75x,0,147.49,0,270.75,0,0.694,0.41,0.454,2.45x,5.34x,5.34x,0,0,6.51x,6.23x,6.23x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/12/19,0,0.017,0.026,0.045,0.043,0,0.711,0.071,0.621,0.3,0.287,0,0,0.262,0.236,0.161,0.228,0.383,0.448,0,0.08x,0.11x,2.39x,0,2.36x,0,3.01x,2.71x,0,0,2.10x,0,153,0,169.82,0,0.693,0.409,0.447,2.55x,5.62x,5.62x,0,0,7.23x,7.03x,7.03x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/12/20,0,0.016,0.025,0.07,0.074,0,0.72,0.07,0.619,0.306,0.281,0,0,0.437,0.407,0.228,0.402,0.493,0.546,0,0.08x,0.11x,2.57x,0,1.87x,0,3.33x,3.07x,0,0,2.02x,0,142.29,0,167.05,0,0.588,0.37,0.411,3.10x,6.95x,6.95x,0,0,6.63x,6.15x,6.15x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/12/21,0,0.012,0.019,0.04,0.04,0,0.707,0.071,0.61,0.293,0.249,0,0,0.308,0.269,0.151,0.265,0.482,0.519,0,0.07x,0.10x,2.50x,0,2.50x,0,2.22x,1.83x,0,0,1.45x,0,145.89,0,233.68,0,0.485,0.326,0.37,3.73x,9.30x,9.30x,0,0,6.98x,6.71x,6.71x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/12/22,0,0.012,0.019,0.032,0.029,0,0.698,0.068,0.6,0.279,0.242,0,0,0.259,0.201,0.071,0.198,0.513,0.53,0,0.07x,0.09x,2.70x,0,2.00x,0,3.08x,2.91x,0,0,2.08x,0,135.1,0,210.46,0,0.466,0.318,0.361,6.66x,16.85x,16.85x,0,0,6.66x,6.14x,6.14x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
