Date,Return Ratios:,Return on Assets % ,Return on Capital % ,Return On Equity % ,Return on Common Equity % ,Margin Analysis:,Gross Profit Margin % ,SG&A Margin % ,EBITDA Margin % ,EBITA Margin % ,EBIT Margin % ,EBT Margin %,EBT Excl. Non-Recurring Items Margin % ,Income From Continuing Operations Margin % ,Net Income Margin % ,Normalized Net Income Margin % ,Net Avail. For Common Margin % ,Levered Free Cash Flow Margin % ,Unlevered Free Cash Flow Margin % ,Asset Turnover:,Asset Turnover ,Fixed Assets Turnover ,Receivables Turnover ,Inventory Turnover ,Working Capital Turnover,Short Term Liquidity:,Current Ratio ,Quick Ratio ,Dividend Payout %,Dividend Yield % ,Op Cash Flow to Current Liab ,Avg. Cash Conversion Cycle ,Avg. Days Sales Outstanding ,Avg. Days Outstanding Inventory ,Avg. Days Payable Outstanding ,Long-Term Solvency:,Total Debt / Equity,Total Debt / Capital ,Total Liabilities / Total Assets ,EBIT / Interest Expense,EBITDA / Interest Expense,(EBITDA - Capex) / Interest Expense,FFO Interest Coverage ,FFO to Total Debt (x) ,Total Debt / EBITDA,Net Debt / EBITDA,Net Debt / (EBITDA - Capex),Industry Metrics:,Nonperforming Loans / Total Loans %,Nonperforming Loans / Total Assets %,Nonperforming Assets / Total Assets %,Nonperforming Assets / Equity %,Allowance for Credit Losses / Net Charge-offs %,Allowance for Credit Losses / Nonperforming Loans %,Allowance for Credit Losses / Total Loans %,Net Charge-offs / Total Average Loans %,Provision for Loan Losses / Net Charge-offs %,Earning Assets / Interest Bearing Liabilities %,Interest Income / Average Assets %,Interest Expense / Average Assets %,Net Interest Income / Average Assets %,Total Average Common Equity / Total Average Assets % ,Total Equity + Allowance for Loan Losses / Total Loans % ,Gross Loans / Total Deposits %,Tier 1 Capital Ratio % ,Total Capital Ratio % ,Core Tier 1 Capital Ratio % ,Tier 2 Capital Ratio % ,Equity Tier 1 Capital Ratio % 
31/12/13,0,0.18,0.268,0.345,0.35,0,0.843,0.466,0.378,0.37,0.36,0,0,0.279,0.279,0.217,0.279,0.261,0.26,0,0.65x,60.57x,15.04x,0,1.11x,0,5.41x,5.27x,0,0,1.67x,0,24.27,0,74.15,0,0.275,0.208,0.338,29.38x,30.80x,29.78x,0,0,0.74x,(1.89x),(1.96x),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/12/14,0,0.153,0.231,0.313,0.313,0,0.898,0.509,0.389,0.38,0.365,0,0,0.287,0.287,0.222,0.287,0.262,0.262,0,0.57x,50.55x,14.31x,0,2.26x,0,3.71x,3.58x,0,0,2.11x,0,25.51,0,112.5,0,0.451,0.29,0.42,34.86x,37.21x,35.73x,0,0,1.17x,(0.13x),(0.14x),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/12/15,0,0.126,0.204,0.294,0.294,0,0.928,0.548,0.38,0.369,0.351,0,0,0.277,0.277,0.21,0.277,0.256,0.259,0,0.53x,38.94x,14.31x,0,4.36x,0,2.47x,2.29x,0,0,2.23x,0,25.5,0,166.53,0,0.7,0.389,0.495,20.20x,21.90x,20.81x,0,0,1.76x,1.00x,1.05x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/12/16,0,0.129,0.216,0.229,0.229,0,0.961,0.575,0.387,0.374,0.358,0,0,0.199,0.199,0.216,0.199,0.27,0.275,0,0.54x,34.55x,14.27x,0,4.22x,0,1.89x,1.81x,0,0,1.39x,0,25.64,0,327.17,0,0.73,0.403,0.505,18.50x,19.98x,18.92x,0,0,1.73x,0.69x,0.73x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/12/17,0,0.125,0.214,0.222,0.222,0,0.981,0.594,0.387,0.372,0.358,0,0,0.185,0.185,0.217,0.185,0.273,0.279,0,0.50x,30.67x,12.20x,0,2.29x,0,2.58x,2.46x,0,0,1.33x,0,29.91,0,819.82,0,0.846,0.448,0.558,17.89x,19.31x,18.18x,0,0,1.94x,(1.69x),(1.80x),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/12/18,0,0.139,0.3,0.399,0.399,0,0.859,0.462,0.397,0.38,0.368,0,0,0.275,0.275,0.224,0.275,0.261,0.269,0,0.64x,25.58x,10.60x,0,2.99x,0,2.36x,2.20x,0,0,1.50x,0,34.43,0,161.05,0,0.987,0.487,0.613,19.86x,21.44x,19.80x,0,0,1.50x,(0.92x),(1.00x),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/12/19,0,0.152,0.333,0.661,0.661,0,0.851,0.465,0.386,0.366,0.355,0,0,0.323,0.323,0.216,0.323,0.273,0.28,0,0.70x,14.96x,9.41x,0,3.37x,0,1.83x,1.68x,0,0,0.91x,0,38.8,0,192.65,0,1.559,0.576,0.723,20.09x,22.75x,21.36x,0,0,1.53x,(0.29x),(0.31x),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/12/20,0,0.015,0.027,0.011,0.011,0,0.703,0.561,0.142,0.099,0.075,0,0,0.009,0.009,-0.001,0.009,0.022,0.055,0,0.31x,5.14x,6.15x,0,0.77x,0,3.56x,3.38x,0,0,0.02x,0,59.48,0,179.1,0,2.563,0.676,0.776,1.42x,3.38x,2.58x,0,0,10.42x,(1.35x),(1.78x),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/12/21,0,0.073,0.143,0.21,0.21,0,0.801,0.521,0.28,0.256,0.241,0,0,0.106,0.106,0.138,0.106,0.282,0.301,0,0.46x,8.42x,11.61x,0,1.59x,0,2.10x,2.00x,0,0,0.45x,0,31.43,0,194.48,0,1.85,0.617,0.739,7.92x,9.86x,8.95x,0,0,3.47x,(0.78x),(0.86x),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/12/22,0,0.125,0.294,0.683,0.683,0,0.856,0.542,0.313,0.3,0.287,0,0,0.179,0.179,0.171,0.179,0.338,0.352,0,0.67x,12.99x,9.53x,0,2.33x,0,1.86x,1.73x,0,0,0.77x,0,38.3,0,303.03,0,4.75,0.792,0.89,12.54x,14.20x,13.26x,0,0,2.38x,(0.23x),(0.24x),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
