Date,Return Ratios:,Return on Assets % ,Return on Capital % ,Return On Equity % ,Return on Common Equity % ,Margin Analysis:,Gross Profit Margin % ,SG&A Margin % ,EBITDA Margin % ,EBITA Margin % ,EBIT Margin % ,EBT Margin %,EBT Excl. Non-Recurring Items Margin % ,Income From Continuing Operations Margin % ,Net Income Margin % ,Normalized Net Income Margin % ,Net Avail. For Common Margin % ,Levered Free Cash Flow Margin % ,Unlevered Free Cash Flow Margin % ,Asset Turnover:,Asset Turnover ,Fixed Assets Turnover ,Receivables Turnover ,Inventory Turnover ,Working Capital Turnover,Short Term Liquidity:,Current Ratio ,Quick Ratio ,Dividend Payout %,Dividend Yield % ,Op Cash Flow to Current Liab ,Avg. Cash Conversion Cycle ,Avg. Days Sales Outstanding ,Avg. Days Outstanding Inventory ,Avg. Days Payable Outstanding ,Long-Term Solvency:,Total Debt / Equity,Total Debt / Capital ,Total Liabilities / Total Assets ,EBIT / Interest Expense,EBITDA / Interest Expense,(EBITDA - Capex) / Interest Expense,FFO Interest Coverage ,FFO to Total Debt (x) ,Total Debt / EBITDA,Net Debt / EBITDA,Net Debt / (EBITDA - Capex),Industry Metrics:,Nonperforming Loans / Total Loans %,Nonperforming Loans / Total Assets %,Nonperforming Assets / Total Assets %,Nonperforming Assets / Equity %,Allowance for Credit Losses / Net Charge-offs %,Allowance for Credit Losses / Nonperforming Loans %,Allowance for Credit Losses / Total Loans %,Net Charge-offs / Total Average Loans %,Provision for Loan Losses / Net Charge-offs %,Earning Assets / Interest Bearing Liabilities %,Interest Income / Average Assets %,Interest Expense / Average Assets %,Net Interest Income / Average Assets %,Total Average Common Equity / Total Average Assets % ,Total Equity + Allowance for Loan Losses / Total Loans % ,Gross Loans / Total Deposits %,Tier 1 Capital Ratio % ,Total Capital Ratio % ,Core Tier 1 Capital Ratio % ,Tier 2 Capital Ratio % ,Equity Tier 1 Capital Ratio % 
25/05/14,0,0.042,0.084,0.117,0.116,0,0.247,0.135,0.142,0.114,0.112,0,0,0.053,0.026,0.051,0.052,0.039,0.059,0,0.61x,3.20x,10.13x,4.03x,7.45x,0,1.60x,0.45x,0,0,0.59x,66.24,35.94,90.23,59.93,0,1.671,0.571,0.723,3.49x,4.42x,3.21x,0,0,5.33x,5.25x,7.23x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/05/15,0,0.034,0.079,0.091,0.089,0,0.257,0.147,0.141,0.113,0.11,0,0,0.05,-0.028,0.05,0.048,0.121,0.144,0,0.52x,2.88x,10.05x,3.61x,35.68x,0,1.08x,0.27x,0,0,0.45x,67.91,36.91,102.75,71.75,0,1.715,0.632,0.736,3.01x,3.88x,3.16x,0,0,6.20x,6.07x,7.45x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/05/16,0,0.03,0.08,0.031,0.027,0,0.286,0.2,0.118,0.09,0.086,0,0,0.015,-0.078,0.036,0.013,0.072,0.093,0,0.65x,3.99x,12.47x,4.60x,8.30x,0,1.41x,0.57x,0,0,0.50x,50.03,29.18,79.05,58.2,0,1.437,0.59,0.717,2.50x,3.43x,2.50x,0,0,5.35x,4.57x,6.27x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28/05/17,0,0.07,0.186,0.139,0.139,0,0.302,0.134,0.202,0.172,0.168,0,0,0.07,0.082,0.094,0.069,0.17,0.186,0,0.78x,4.70x,12.90x,5.54x,26.74x,0,1.17x,0.47x,0,0,0.68x,43.54,28.22,65.66,50.34,0,0.735,0.424,0.596,6.60x,7.95x,6.73x,0,0,1.89x,1.73x,2.05x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27/05/18,0,0.077,0.168,0.204,0.207,0,0.296,0.136,0.192,0.164,0.16,0,0,0.1,0.102,0.095,0.1,0.12,0.133,0,0.76x,4.93x,14.02x,5.83x,(19.98x),0,0.83x,0.30x,0,0,0.41x,34.32,25.97,62.44,54.09,0,1.016,0.504,0.638,7.81x,9.39x,7.85x,0,0,2.50x,2.42x,2.89x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26/05/19,0,0.05,0.072,0.121,0.123,0,0.278,0.141,0.172,0.142,0.137,0,0,0.071,0.071,0.066,0.071,0.029,0.054,0,0.43x,4.87x,13.75x,5.43x,16.13x,0,1.28x,0.49x,0,0,0.53x,40.82,26.48,67.08,52.74,0,1.431,0.589,0.664,3.38x,4.24x,3.32x,0,0,6.52x,6.38x,8.13x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/05/20,0,0.041,0.081,0.109,0.11,0,0.278,0.146,0.167,0.137,0.132,0,0,0.076,0.076,0.059,0.076,0.102,0.129,0,0.50x,4.51x,13.17x,5.48x,(27.53x),0,0.88x,0.43x,0,0,0.56x,30.25,28.17,67.69,65.61,0,1.257,0.557,0.644,2.97x,3.90x,3.15x,0,0,5.23x,4.94x,6.12x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/05/21,0,0.054,0.108,0.157,0.158,0,0.284,0.112,0.206,0.177,0.172,0,0,0.116,0.116,0.088,0.116,0.066,0.09,0,0.50x,4.20x,13.52x,5.21x,(18.51x),0,0.82x,0.26x,0,0,0.44x,27.88,26.93,69.9,68.94,0,1.069,0.517,0.611,4.55x,5.60x,4.40x,0,0,3.90x,3.87x,4.92x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/05/22,0,0.048,0.094,0.102,0.102,0,0.246,0.098,0.18,0.153,0.148,0,0,0.077,0.077,0.08,0.077,0.041,0.062,0,0.51x,4.04x,13.89x,4.73x,(23.78x),0,0.86x,0.27x,0,0,0.33x,31.59,26.21,76.93,71.56,0,1.041,0.51,0.605,4.46x,5.60x,4.39x,0,0,4.31x,4.27x,5.45x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28/05/23,0,0.053,0.103,0.077,0.078,0,0.266,0.113,0.184,0.158,0.154,0,0,0.056,0.056,0.086,0.056,0.026,0.047,0,0.56x,4.15x,13.40x,4.29x,(11.63x),0,0.76x,0.24x,0,0,0.22x,45.38,27.17,84.8,66.59,0,1.075,0.518,0.601,4.56x,5.61x,4.74x,0,0,4.08x,4.04x,4.79x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
