Date,Return Ratios:,Return on Assets % ,Return on Capital % ,Return On Equity % ,Return on Common Equity % ,Margin Analysis:,Gross Profit Margin % ,SG&A Margin % ,EBITDA Margin % ,EBITA Margin % ,EBIT Margin % ,EBT Margin %,EBT Excl. Non-Recurring Items Margin % ,Income From Continuing Operations Margin % ,Net Income Margin % ,Normalized Net Income Margin % ,Net Avail. For Common Margin % ,Levered Free Cash Flow Margin % ,Unlevered Free Cash Flow Margin % ,Asset Turnover:,Asset Turnover ,Fixed Assets Turnover ,Receivables Turnover ,Inventory Turnover ,Working Capital Turnover,Short Term Liquidity:,Current Ratio ,Quick Ratio ,Dividend Payout %,Dividend Yield % ,Op Cash Flow to Current Liab ,Avg. Cash Conversion Cycle ,Avg. Days Sales Outstanding ,Avg. Days Outstanding Inventory ,Avg. Days Payable Outstanding ,Long-Term Solvency:,Total Debt / Equity,Total Debt / Capital ,Total Liabilities / Total Assets ,EBIT / Interest Expense,EBITDA / Interest Expense,(EBITDA - Capex) / Interest Expense,FFO Interest Coverage ,FFO to Total Debt (x) ,Total Debt / EBITDA,Net Debt / EBITDA,Net Debt / (EBITDA - Capex),Industry Metrics:,Nonperforming Loans / Total Loans %,Nonperforming Loans / Total Assets %,Nonperforming Assets / Total Assets %,Nonperforming Assets / Equity %,Allowance for Credit Losses / Net Charge-offs %,Allowance for Credit Losses / Nonperforming Loans %,Allowance for Credit Losses / Total Loans %,Net Charge-offs / Total Average Loans %,Provision for Loan Losses / Net Charge-offs %,Earning Assets / Interest Bearing Liabilities %,Interest Income / Average Assets %,Interest Expense / Average Assets %,Net Interest Income / Average Assets %,Total Average Common Equity / Total Average Assets % ,Total Equity + Allowance for Loan Losses / Total Loans % ,Gross Loans / Total Deposits %,Tier 1 Capital Ratio % ,Total Capital Ratio % ,Core Tier 1 Capital Ratio % ,Tier 2 Capital Ratio % ,Equity Tier 1 Capital Ratio % 
31/12/13,0,-0.116,-0.453,-0.535,-0.535,0,0.29,0.236,-0.065,-0.095,-0.095,0,0,-0.111,-0.111,-0.067,-0.111,-0.051,-0.045,0,2.00x,10.51x,7.78x,9.08x,4.07x,0,2.71x,2.11x,0,0,(0.03x),66.1,46.89,40.18,20.97,0,0.216,0.178,0.655,(10.78x),(7.39x),(10.43x),0,0,(0.57x),1.94x,1.38x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/12/14,0,-0.021,-0.094,-0.185,-0.185,0,0.329,0.21,0.011,-0.013,-0.013,0,0,-0.023,-0.023,-0.013,-0.023,0.026,0.028,0,2.26x,14.10x,8.91x,12.10x,6.12x,0,1.96x,1.48x,0,0,0.41x,48.18,40.97,30.17,22.96,0,0,0,0.691,(2.38x),2.06x,(5.06x),0,0,0,(10.97x),4.46x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/12/15,0,-0.083,-0.362,-0.5,-0.5,0,0.303,0.22,-0.03,-0.058,-0.059,0,0,-0.062,-0.062,-0.039,-0.062,-0.073,-0.073,0,2.16x,12.68x,7.83x,7.98x,7.30x,0,1.67x,1.02x,0,0,(0.29x),59.74,46.6,45.72,32.58,0,0.41,0.291,0.75,(42.19x),(21.15x),(46.15x),0,0,(1.60x),1.08x,0.50x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/12/16,0,-0.224,-1.674,-3.156,-3.156,0,0.18,0.205,-0.15,-0.18,-0.183,0,0,-0.209,-0.209,-0.121,-0.209,-0.072,-0.067,0,1.97x,11.06x,6.02x,7.27x,9.19x,0,1.42x,0.95x,0,0,(0.40x),70.11,60.77,50.32,40.98,0,26.077,0.963,0.992,(21.25x),(17.41x),(21.80x),0,0,(0.70x),(0.33x),(0.27x),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/12/17,0,-0.084,-0.553,11.549,11.549,0,0.196,0.158,-0.047,-0.078,-0.078,0,0,-0.158,-0.158,-0.062,-0.158,-0.008,0.004,0,1.69x,10.42x,4.53x,7.94x,7.39x,0,1.42x,1.03x,0,0,(0.31x),77.34,80.59,45.96,49.21,0,-5.452,1.225,1.054,(2.74x),(1.64x),(2.14x),0,0,(3.70x),(1.53x),(1.17x),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/12/18,0,0.016,0.056,17.225,17.225,0,0.299,0.175,0.051,0.021,0.021,0,0,-0.037,-0.037,-0.01,-0.037,0.149,0.161,0,0.93x,13.84x,4.01x,10.49x,4.21x,0,1.51x,1.35x,0,0,0.11x,59.12,91.09,34.79,66.76,0,14.118,0.934,0.977,0.61x,1.51x,1.13x,0,0,6.78x,0.22x,0.29x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/12/19,0,0.125,0.27,1.151,1.151,0,0.354,0.121,0.191,0.169,0.169,0,0,0.258,0.258,0.099,0.258,0.034,0.044,0,0.88x,21.33x,4.94x,16.68x,2.08x,0,2.51x,2.07x,0,0,0.70x,49.51,73.93,21.88,46.3,0,0.434,0.303,0.618,10.87x,12.74x,11.22x,0,0,0.96x,(1.08x),(1.22x),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/12/20,0,0.122,0.223,0.354,0.354,0,0.447,0.134,0.264,0.241,0.241,0,0,0.173,0.173,0.099,0.173,0.191,0.208,0,0.65x,16.46x,4.30x,11.61x,1.94x,0,1.75x,1.65x,0,0,0.41x,62.39,85.19,31.53,54.33,0,0.724,0.42,0.597,8.88x,9.99x,9.01x,0,0,1.67x,(1.57x),(1.74x),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/12/21,0,0.084,0.149,0.318,0.318,0,0.401,0.165,0.179,0.164,0.16,0,0,0.105,0.105,0.078,0.105,0.145,0.134,0,0.66x,19.76x,4.96x,14.25x,1.35x,0,3.33x,3.13x,0,0,0.80x,59.65,73.58,25.61,39.54,0,2.449,0.71,0.793,4.89x,5.65x,4.49x,0,0,4.13x,0.14x,0.18x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/12/22,0,0.11,0.212,0.633,0.633,0,0.418,0.151,0.216,0.201,0.194,0,0,0.17,0.17,0.122,0.17,0.215,0.214,0,0.76x,23.60x,5.62x,12.10x,1.43x,0,3.55x,3.27x,0,0,1.17x,64.71,65,30.16,30.45,0,1.593,0.614,0.732,48.02x,54.24x,49.32x,0,0,2.57x,(0.58x),(0.64x),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
