Date,Return Ratios:,Return on Assets % ,Return on Capital % ,Return On Equity % ,Return on Common Equity % ,Margin Analysis:,Gross Profit Margin % ,SG&A Margin % ,EBITDA Margin % ,EBITA Margin % ,EBIT Margin % ,EBT Margin %,EBT Excl. Non-Recurring Items Margin % ,Income From Continuing Operations Margin % ,Net Income Margin % ,Normalized Net Income Margin % ,Net Avail. For Common Margin % ,Levered Free Cash Flow Margin % ,Unlevered Free Cash Flow Margin % ,Asset Turnover:,Asset Turnover ,Fixed Assets Turnover ,Receivables Turnover ,Inventory Turnover ,Working Capital Turnover,Short Term Liquidity:,Current Ratio ,Quick Ratio ,Dividend Payout %,Dividend Yield % ,Op Cash Flow to Current Liab ,Avg. Cash Conversion Cycle ,Avg. Days Sales Outstanding ,Avg. Days Outstanding Inventory ,Avg. Days Payable Outstanding ,Long-Term Solvency:,Total Debt / Equity,Total Debt / Capital ,Total Liabilities / Total Assets ,EBIT / Interest Expense,EBITDA / Interest Expense,(EBITDA - Capex) / Interest Expense,FFO Interest Coverage ,FFO to Total Debt (x) ,Total Debt / EBITDA,Net Debt / EBITDA,Net Debt / (EBITDA - Capex),Industry Metrics:,Nonperforming Loans / Total Loans %,Nonperforming Loans / Total Assets %,Nonperforming Assets / Total Assets %,Nonperforming Assets / Equity %,Allowance for Credit Losses / Net Charge-offs %,Allowance for Credit Losses / Nonperforming Loans %,Allowance for Credit Losses / Total Loans %,Net Charge-offs / Total Average Loans %,Provision for Loan Losses / Net Charge-offs %,Earning Assets / Interest Bearing Liabilities %,Interest Income / Average Assets %,Interest Expense / Average Assets %,Net Interest Income / Average Assets %,Total Average Common Equity / Total Average Assets % ,Total Equity + Allowance for Loan Losses / Total Loans % ,Gross Loans / Total Deposits %,Tier 1 Capital Ratio % ,Total Capital Ratio % ,Core Tier 1 Capital Ratio % ,Tier 2 Capital Ratio % ,Equity Tier 1 Capital Ratio % 
31/05/14,0,0.073,0.176,0.142,0.142,0,0.271,0.009,0.141,0.086,0.086,0,0,0.051,0.051,0.051,0.051,0.018,0.02,0,1.38x,2.40x,8.68x,72.22x,10.42x,0,1.82x,1.58x,0,0,0.80x,25.98,42.07,5.05,21.14,0,0.31,0.214,0.538,24.40x,40.11x,18.03x,0,0,0.74x,0.29x,0.63x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/05/15,0,0.081,0.193,0.069,0.069,0,0.282,0.008,0.15,0.096,0.095,0,0,0.022,0.022,0.028,0.022,0.04,0.043,0,1.30x,2.35x,8.49x,70.96x,10.84x,0,1.74x,1.59x,0,0,0.90x,26.55,42.99,5.14,21.59,0,0.485,0.31,0.59,19.28x,30.39x,11.89x,0,0,1.02x,0.49x,1.25x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/05/16,0,0.074,0.168,0.126,0.126,0,0.287,0.008,0.15,0.098,0.097,0,0,0.036,0.036,0.038,0.036,0.019,0.023,0,1.10x,2.23x,7.77x,72.25x,12.65x,0,1.50x,1.35x,0,0,0.71x,26.66,47.13,5.07,25.53,0,0.998,0.473,0.7,14.58x,22.41x,8.07x,0,0,1.83x,1.36x,3.77x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/05/17,0,0.067,0.152,0.201,0.2,0,0.278,0.008,0.134,0.086,0.085,0,0,0.05,0.05,0.048,0.05,0.01,0.015,0,1.24x,2.40x,8.12x,86.21x,12.81x,0,1.59x,1.46x,0,0,0.62x,25.3,44.93,4.23,23.87,0,0.929,0.446,0.669,9.96x,15.81x,5.81x,0,0,1.84x,1.35x,3.68x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/05/18,0,0.068,0.14,0.258,0.257,0,0.275,0.007,0.131,0.085,0.083,0,0,0.07,0.07,0.047,0.07,-0.006,0,0,1.25x,2.42x,8.14x,91.33x,17.62x,0,1.39x,1.22x,0,0,0.49x,26.8,44.84,4,22.03,0,0.854,0.427,0.629,9.78x,15.33x,5.18x,0,0,1.94x,1.56x,4.61x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/05/19,0,0.019,0.041,0.029,0.029,0,0.214,0.007,0.071,0.024,0.023,0,0,0.008,0.008,0.009,0.008,-0.033,-0.027,0,1.28x,2.38x,7.92x,101.60x,17.11x,0,1.45x,1.27x,0,0,0.62x,29.66,46.08,3.59,20.01,0,0.99,0.461,0.674,2.69x,8.39x,(0.95x),0,0,3.56x,3.09x,(27.45x),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/05/20,0,0.027,0.047,0.071,0.071,0,0.243,0.006,0.092,0.04,0.039,0,0,0.019,0.019,0.019,0.019,-0.018,-0.011,0,0.94x,1.78x,7.20x,93.12x,11.46x,0,1.58x,1.45x,0,0,0.49x,32.74,50.81,3.93,22,0,1.974,0.627,0.751,4.06x,14.97x,6.23x,0,0,3.59x,3.11x,7.46x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/05/21,0,0.064,0.123,0.246,0.246,0,0.283,0.005,0.14,0.095,0.095,0,0,0.062,0.062,0.053,0.062,0.042,0.048,0,1.01x,1.70x,7.57x,103.93x,12.13x,0,1.51x,1.40x,0,0,0.74x,30.17,48.19,3.51,21.54,0,1.509,0.565,0.708,10.03x,20.06x,12.64x,0,0,2.29x,1.85x,2.93x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/05/22,0,0.044,0.091,0.156,0.156,0,0.25,0.005,0.107,0.065,0.064,0,0,0.041,0.041,0.036,0.041,0.013,0.017,0,1.09x,1.77x,7.81x,114.54x,15.35x,0,1.43x,1.31x,0,0,0.69x,29.42,46.71,3.19,20.48,0,1.491,0.562,0.71,8.72x,21.77x,11.96x,0,0,2.48x,2.02x,3.68x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/05/23,0,0.046,0.093,0.156,0.155,0,0.271,0.005,0.118,0.072,0.071,0,0,0.044,0.044,0.04,0.044,0.031,0.036,0,1.03x,1.60x,8.18x,105.98x,17.94x,0,1.37x,1.25x,0,0,0.65x,26.21,44.64,3.44,21.87,0,1.469,0.556,0.701,9.26x,22.87x,13.97x,0,0,2.42x,1.98x,3.25x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
