Date,Return Ratios:,Return on Assets % ,Return on Capital % ,Return On Equity % ,Return on Common Equity % ,Margin Analysis:,Gross Profit Margin % ,SG&A Margin % ,EBITDA Margin % ,EBITA Margin % ,EBIT Margin % ,EBT Margin %,EBT Excl. Non-Recurring Items Margin % ,Income From Continuing Operations Margin % ,Net Income Margin % ,Normalized Net Income Margin % ,Net Avail. For Common Margin % ,Levered Free Cash Flow Margin % ,Unlevered Free Cash Flow Margin % ,Asset Turnover:,Asset Turnover ,Fixed Assets Turnover ,Receivables Turnover ,Inventory Turnover ,Working Capital Turnover,Short Term Liquidity:,Current Ratio ,Quick Ratio ,Dividend Payout %,Dividend Yield % ,Op Cash Flow to Current Liab ,Avg. Cash Conversion Cycle ,Avg. Days Sales Outstanding ,Avg. Days Outstanding Inventory ,Avg. Days Payable Outstanding ,Long-Term Solvency:,Total Debt / Equity,Total Debt / Capital ,Total Liabilities / Total Assets ,EBIT / Interest Expense,EBITDA / Interest Expense,(EBITDA - Capex) / Interest Expense,FFO Interest Coverage ,FFO to Total Debt (x) ,Total Debt / EBITDA,Net Debt / EBITDA,Net Debt / (EBITDA - Capex),Industry Metrics:,Nonperforming Loans / Total Loans %,Nonperforming Loans / Total Assets %,Nonperforming Assets / Total Assets %,Nonperforming Assets / Equity %,Allowance for Credit Losses / Net Charge-offs %,Allowance for Credit Losses / Nonperforming Loans %,Allowance for Credit Losses / Total Loans %,Net Charge-offs / Total Average Loans %,Provision for Loan Losses / Net Charge-offs %,Earning Assets / Interest Bearing Liabilities %,Interest Income / Average Assets %,Interest Expense / Average Assets %,Net Interest Income / Average Assets %,Total Average Common Equity / Total Average Assets % ,Total Equity + Allowance for Loan Losses / Total Loans % ,Gross Loans / Total Deposits %,Tier 1 Capital Ratio % ,Total Capital Ratio % ,Core Tier 1 Capital Ratio % ,Tier 2 Capital Ratio % ,Equity Tier 1 Capital Ratio % 
31/12/13,0,0.017,0.034,-0.033,-0.041,0,0.28,0.079,0.201,0.087,0.082,0,0,-0.031,-0.034,0.003,-0.035,-0.122,-0.075,0,0.33x,0.56x,9.93x,9.03x,3.33x,0,1.81x,0.95x,0,0,0.30x,27.55,36.76,40.43,49.64,0,1.575,0.611,0.684,1.10x,2.68x,0.33x,0,0,7.44x,6.44x,51.52x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/12/14,0,0.024,0.044,0.012,0.008,0,0.256,0.064,0.193,0.094,0.09,0,0,0.008,0.008,0.015,0.005,0.075,0.12,0,0.39x,0.75x,12.51x,11.01x,4.47x,0,1.73x,0.74x,0,0,0.31x,30.82,29.17,33.15,31.49,0,1.697,0.629,0.704,1.28x,2.74x,1.93x,0,0,6.63x,5.94x,8.45x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/12/15,0,0.013,0.031,-0.713,-1.01,0,0.27,0.1,0.189,0.076,0.064,0,0,-0.514,-0.518,0,-0.511,0.04,0.084,0,0.37x,0.60x,9.95x,7.20x,4.09x,0,1.69x,0.61x,0,0,0.31x,48.28,36.7,50.67,39.09,0,3.398,0.772,0.825,0.84x,2.49x,1.39x,0,0,8.39x,7.74x,13.84x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/12/16,0,0.012,0.028,-0.186,-0.323,0,0.251,0.116,0.167,0.074,0.067,0,0,-0.107,-0.087,0.016,-0.086,0.09,0.128,0,0.29x,0.52x,8.05x,6.77x,4.43x,0,1.43x,0.42x,0,0,0.41x,49.46,45.47,54.08,50.09,0,3.687,0.786,0.854,1.02x,2.55x,1.61x,0,0,11.15x,10.52x,16.60x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/12/17,0,0.019,0.072,-0.411,-1.37,0,0.241,0.092,0.173,0.114,0.09,0,0,-0.148,-0.237,0.041,-0.128,0.209,0.245,0,0.39x,0.85x,8.49x,11.73x,8.38x,0,1.32x,0.55x,0,0,0.48x,31.26,43,31.11,42.85,0,4.589,0.82,0.912,1.47x,2.81x,2.36x,0,0,6.00x,5.50x,6.56x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/12/18,0,0.042,0.212,1.107,-0.582,0,0.25,0.084,0.181,0.138,0.12,0,0,0.049,0.028,0.045,0.049,0.053,0.082,0,0.89x,2.10x,9.01x,16.43x,7.89x,0,1.50x,0.67x,0,0,0.57x,21.3,40.51,22.21,41.42,0,-5.367,1.214,1.114,2.36x,3.55x,2.75x,0,0,3.80x,3.46x,4.47x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/12/19,0,0.07,0.158,17.797,19.42,0,0.256,0.077,0.187,0.144,0.131,0,0,0.42,0.452,0.06,0.419,0.111,0.134,0,0.78x,3.22x,9.67x,18.37x,13.47x,0,1.31x,0.57x,0,0,0.60x,17.84,37.74,19.87,39.77,0,3.842,0.792,0.866,3.12x,4.69x,4.14x,0,0,3.32x,3.15x,3.57x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/12/20,0,0.055,0.112,0.304,0.306,0,0.281,0.089,0.198,0.155,0.132,0,0,0.056,0.056,0.061,0.056,0.132,0.154,0,0.61x,3.08x,9.68x,18.42x,2.21x,0,3.15x,2.49x,0,0,0.96x,18.97,37.8,19.87,38.69,0,5.38,0.842,0.887,2.99x,4.73x,4.15x,0,0,4.77x,2.71x,3.08x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/12/21,0,0.122,0.312,0.828,0.828,0,0.241,0.048,0.174,0.158,0.138,0,0,0.081,0.081,0.077,0.081,0.011,0.021,0,1.16x,11.23x,13.72x,49.65x,9.22x,0,1.37x,0.51x,0,0,0.06x,8.12,26.6,7.35,25.83,0,2.302,0.693,0.845,7.69x,9.91x,9.35x,0,0,1.73x,1.67x,1.77x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/12/22,0,0.053,0.181,0.329,0.329,0,0.13,0.039,0.099,0.088,0.071,0,0,0.039,0.039,0.037,0.039,0.048,0.055,0,1.08x,16.28x,8.12x,43.95x,9.71x,0,1.25x,0.40x,0,0,0.03x,14.29,44.97,8.3,38.98,0,2.169,0.677,0.869,5.33x,7.92x,7.04x,0,0,2.51x,2.38x,2.68x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
