Date,Return Ratios:,Return on Assets % ,Return on Capital % ,Return On Equity % ,Return on Common Equity % ,Margin Analysis:,Gross Profit Margin % ,SG&A Margin % ,EBITDA Margin % ,EBITA Margin % ,EBIT Margin % ,EBT Margin %,EBT Excl. Non-Recurring Items Margin % ,Income From Continuing Operations Margin % ,Net Income Margin % ,Normalized Net Income Margin % ,Net Avail. For Common Margin % ,Levered Free Cash Flow Margin % ,Unlevered Free Cash Flow Margin % ,Asset Turnover:,Asset Turnover ,Fixed Assets Turnover ,Receivables Turnover ,Inventory Turnover ,Working Capital Turnover,Short Term Liquidity:,Current Ratio ,Quick Ratio ,Dividend Payout %,Dividend Yield % ,Op Cash Flow to Current Liab ,Avg. Cash Conversion Cycle ,Avg. Days Sales Outstanding ,Avg. Days Outstanding Inventory ,Avg. Days Payable Outstanding ,Long-Term Solvency:,Total Debt / Equity,Total Debt / Capital ,Total Liabilities / Total Assets ,EBIT / Interest Expense,EBITDA / Interest Expense,(EBITDA - Capex) / Interest Expense,FFO Interest Coverage ,FFO to Total Debt (x) ,Total Debt / EBITDA,Net Debt / EBITDA,Net Debt / (EBITDA - Capex),Industry Metrics:,Nonperforming Loans / Total Loans %,Nonperforming Loans / Total Assets %,Nonperforming Assets / Total Assets %,Nonperforming Assets / Equity %,Allowance for Credit Losses / Net Charge-offs %,Allowance for Credit Losses / Nonperforming Loans %,Allowance for Credit Losses / Total Loans %,Net Charge-offs / Total Average Loans %,Provision for Loan Losses / Net Charge-offs %,Earning Assets / Interest Bearing Liabilities %,Interest Income / Average Assets %,Interest Expense / Average Assets %,Net Interest Income / Average Assets %,Total Average Common Equity / Total Average Assets % ,Total Equity + Allowance for Loan Losses / Total Loans % ,Gross Loans / Total Deposits %,Tier 1 Capital Ratio % ,Total Capital Ratio % ,Core Tier 1 Capital Ratio % ,Tier 2 Capital Ratio % ,Equity Tier 1 Capital Ratio % 
31/03/14,0,0.078,0.143,0.13,0.131,0,0.407,0.236,0.188,0.153,0.141,0,0,0.08,0.08,0.081,0.08,0.072,0.08,0,0.86,3.64,5.48,6.39,3.84,0,2.65,1.83,0,0,0.82,89.48,66.63,57.13,34.28,0,0.474,0.31,0.448,12.16,16.19,11.58,0,0,1.62,1.12,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/03/15,0,0.083,0.15,0.128,0.128,0,0.42,0.247,0.191,0.157,0.144,0,0,0.073,0.073,0.084,0.073,0.091,0.097,0,0.88,3.89,5.77,6.76,4.21,0,2.54,1.74,0,0,0.87,82.99,63.3,53.99,34.29,0,0.578,0.352,0.488,13.82,18.3,13.86,0,0,1.77,1.29,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/03/16,0,0.05,0.061,0.054,0.054,0,0.401,0.244,0.196,0.154,0.132,0,0,0.05,0.05,0.071,0.05,0.062,0.074,0,0.42,2.87,5.6,7.56,3.9,0,2.43,1.8,0,0,0.64,81.76,65.3,48.38,31.93,0,0.516,0.322,0.432,6.91,10.27,7.31,0,0,3.57,3.01,4.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/03/17,0,0.038,0.071,0.038,0.038,0,0.393,0.25,0.193,0.147,0.121,0,0,0.042,0.042,0.065,0.042,0.066,0.077,0,0.53,2.64,5.47,8.12,4.11,0,2.67,2.01,0,0,1.11,80.33,66.7,44.93,31.31,0,0.526,0.331,0.429,7.07,11.3,7.41,0,0,2.94,2.38,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/03/18,0,0.051,0.089,0.097,0.097,0,0.417,0.235,0.227,0.186,0.159,0,0,0.111,0.111,0.088,0.111,0.087,0.099,0,0.5,2.72,5.18,7.57,4.43,0,2.48,1.83,0,0,1.15,86.66,70.46,48.22,32.02,0,0.409,0.28,0.381,8.22,11.74,8.47,0,0,2.21,1.87,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/03/19,0,0.057,0.103,0.095,0.095,0,0.422,0.232,0.249,0.203,0.168,0,0,0.11,0.109,0.095,0.109,0.124,0.134,0,0.55,2.72,5.09,7.76,4.73,0,2.27,1.69,0,0,1.16,85.96,71.69,47.01,32.74,0,0.371,0.262,0.372,10.38,15.4,11.18,0,0,1.71,1.39,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/03/20,0,0.065,0.112,0.124,0.124,0,0.436,0.234,0.245,0.205,0.18,0,0,0.135,0.135,0.105,0.135,0.089,0.097,0,0.56,2.66,5.27,7.25,4.21,0,2.43,1.8,0,0,1.17,88.66,69.51,50.46,31.32,0,0.376,0.264,0.372,13.55,19.29,13.96,0,0,1.65,1.24,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/03/21,0,0.06,0.098,0.109,0.109,0,0.432,0.224,0.258,0.215,0.187,0,0,0.128,0.128,0.111,0.128,0.106,0.114,0,0.47,2.36,5.2,6.1,4.9,0,2.1,1.44,0,0,1.19,99.3,70.23,59.85,30.78,0,0.463,0.304,0.408,15.63,22.61,16.18,0,0,2.14,1.88,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/03/22,0,0.044,0.06,0.047,0.047,0,0.44,0.283,0.258,0.218,0.138,0,0,0.053,0.053,0.075,0.053,0.068,0.08,0,0.4,2.93,6.51,5.77,4.79,0,2.04,1.24,0,0,0.74,94.61,56.06,63.24,24.69,0,0.501,0.309,0.427,7.05,13.87,10.66,0,0,2.64,2.36,3.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/03/23,0,0.044,0.079,0.017,0.017,0,0.436,0.257,0.27,0.235,0.158,0,0,0.021,0.022,0.085,0.022,0.081,0.095,0,0.46,2.73,5.74,4.4,4.31,0,2.33,1.32,0,0,0.88,114.85,63.58,82.86,31.6,0,0.538,0.328,0.438,7.25,12.99,9.64,0,0,2.33,2.19,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
