Date,Return Ratios:,Return on Assets % ,Return on Capital % ,Return On Equity % ,Return on Common Equity % ,Margin Analysis:,Gross Profit Margin % ,SG&A Margin % ,EBITDA Margin % ,EBITA Margin % ,EBIT Margin % ,EBT Margin %,EBT Excl. Non-Recurring Items Margin % ,Income From Continuing Operations Margin % ,Net Income Margin % ,Normalized Net Income Margin % ,Net Avail. For Common Margin % ,Levered Free Cash Flow Margin % ,Unlevered Free Cash Flow Margin % ,Asset Turnover:,Asset Turnover ,Fixed Assets Turnover ,Receivables Turnover ,Inventory Turnover ,Working Capital Turnover,Short Term Liquidity:,Current Ratio ,Quick Ratio ,Dividend Payout %,Dividend Yield % ,Op Cash Flow to Current Liab ,Avg. Cash Conversion Cycle ,Avg. Days Sales Outstanding ,Avg. Days Outstanding Inventory ,Avg. Days Payable Outstanding ,Long-Term Solvency:,Total Debt / Equity,Total Debt / Capital ,Total Liabilities / Total Assets ,EBIT / Interest Expense,EBITDA / Interest Expense,(EBITDA - Capex) / Interest Expense,FFO Interest Coverage ,FFO to Total Debt (x) ,Total Debt / EBITDA,Net Debt / EBITDA,Net Debt / (EBITDA - Capex),Industry Metrics:,Nonperforming Loans / Total Loans %,Nonperforming Loans / Total Assets %,Nonperforming Assets / Total Assets %,Nonperforming Assets / Equity %,Allowance for Credit Losses / Net Charge-offs %,Allowance for Credit Losses / Nonperforming Loans %,Allowance for Credit Losses / Total Loans %,Net Charge-offs / Total Average Loans %,Provision for Loan Losses / Net Charge-offs %,Earning Assets / Interest Bearing Liabilities %,Interest Income / Average Assets %,Interest Expense / Average Assets %,Net Interest Income / Average Assets %,Total Average Common Equity / Total Average Assets % ,Total Equity + Allowance for Loan Losses / Total Loans % ,Gross Loans / Total Deposits %,Tier 1 Capital Ratio % ,Total Capital Ratio % ,Core Tier 1 Capital Ratio % ,Tier 2 Capital Ratio % ,Equity Tier 1 Capital Ratio % 
31/12/13,0,0.047,0.081,0.09,0.086,0,0.212,0.077,0.205,0.14,0.14,0,0,0.068,0.078,0.059,0.065,0.136,0.168,0,0.50x,0.89x,0,10.65x,6.06x,0,2.06x,1.28x,0,0,0.89x,0,0,34.26,22.82,0,0.791,0.432,0.531,2.75x,4.03x,3.95x,0,0,3.63x,3.07x,3.14x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/12/14,0,0.04,0.083,0.102,0.095,0,0.238,0.077,0.253,0.162,0.162,0,0,0.112,0.333,0.064,0.104,0.163,0.202,0,0.41x,0.59x,0,7.36x,2.91x,0,3.06x,2.32x,0,0,1.21x,0,0,49.61,29.04,0,1.018,0.504,0.6,2.63x,4.11x,3.99x,0,0,3.89x,2.75x,2.83x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/12/15,0,0.036,0.074,0.081,0.072,0,0.208,0.068,0.235,0.144,0.144,0,0,0.078,0.096,0.048,0.07,-0.06,-0.019,0,0.41x,0.61x,0,9.03x,2.27x,0,2.75x,0.99x,0,0,0.81x,0,0,40.43,25.14,0,1.089,0.521,0.617,2.21x,3.62x,3.40x,0,0,4.30x,3.48x,3.71x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/12/16,0,0.039,0.061,0.059,0.056,0,0.218,0.063,0.246,0.157,0.157,0,0,0.065,0.161,0.063,0.062,0.346,0.388,0,0.33x,0.52x,0,14.58x,15.30x,0,1.34x,0.95x,0,0,0.61x,0,0,25.1,15.95,0,0.776,0.437,0.523,2.32x,3.63x,3.49x,0,0,4.56x,4.12x,4.29x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/12/17,0,0.047,0.092,0.064,0.064,0,0.264,0.064,0.269,0.197,0.197,0,0,0.081,0.081,0.092,0.081,0.162,0.196,0,0.40x,0.46x,0,14.30x,13.08x,0,1.47x,1.06x,0,0,1.03x,0,0,25.53,16.53,0,0.731,0.422,0.507,3.60x,4.93x,4.77x,0,0,3.36x,2.93x,3.03x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/12/18,0,0.041,0.073,0.083,0.083,0,0.252,0.091,0.218,0.153,0.153,0,0,0.1,0.1,0.07,0.1,0.052,0.084,0,0.43x,0.50x,0,14.49x,(22.18x),0,0.83x,0.42x,0,0,0.57x,0,0,25.19,15.35,0,0.735,0.422,0.476,3.06x,4.35x,4.19x,0,0,4.07x,3.87x,4.01x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/12/19,0,0.006,0.011,-0.009,-0.009,0,0.174,0.145,0.102,0.024,0.024,0,0,-0.012,-0.012,-0.018,-0.012,0.027,0.063,0,0.40x,0.45x,0,13.45x,10.83x,0,1.60x,0.54x,0,0,0.96x,0,0,27.15,15.7,0,0.799,0.444,0.502,0.42x,1.83x,1.67x,0,0,9.47x,9.27x,10.10x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/12/20,0,0.06,0.11,0.094,0.094,0,0.277,0.062,0.272,0.209,0.209,0,0,0.106,0.106,0.102,0.106,0.213,0.242,0,0.46x,0.52x,0,12.68x,11.43x,0,1.69x,1.08x,0,0,1.61x,0,0,28.86,15.04,0,0.642,0.39,0.465,4.49x,5.90x,5.74x,0,0,2.71x,2.47x,2.54x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/12/21,0,0.13,0.221,0.267,0.267,0,0.402,0.05,0.394,0.347,0.347,0,0,0.256,0.256,0.198,0.256,0.243,0.263,0,0.58x,0.72x,0,12.67x,4.68x,0,3.29x,2.53x,0,0,3.31x,0,0,28.8,14.32,0,0.485,0.326,0.39,11.31x,12.90x,12.73x,0,0,1.29x,0.83x,0.84x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/12/22,0,0.108,0.189,0.175,0.175,0,0.355,0.053,0.345,0.298,0.298,0,0,0.185,0.185,0.172,0.185,0.204,0.221,0,0.59x,0.72x,0,12.27x,10.12x,0,1.58x,1.14x,0,0,1.63x,0,0,29.75,14.61,0,0.481,0.323,0.38,11.23x,13.08x,12.89x,0,0,1.46x,1.02x,1.03x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
